run_id,model_size,method,seed,step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio
haotian_3b_dvao_s1_save10,3b,dvao,1,10,2.376965951733291,0.7375,1.6394659493118524,0.0,462516,495462,32946,480712,480712,480712.0,0.023415695875883102,0.001,0.400943620596081,-0.02524605002690805,0.008117661513097119,0.0083329947170796,19.351155519485474,0.4040898827909118,1e-06,1.9081217050552368,4.0,-3.0,0.54345703125,1.0,0.0,1.3646646738052368,3.0,-3.0,0.0,0.0,0.0,1.9146323204040527,4.902093887329102,-3.014716863632202,-0.05282730236649513,0.6494337916374207,1.7320520877838135,-1.7320525646209717,-0.05282730236649513,1.7320520877838135,-1.7320525646209717,168.974609375,1024.0,20.0,0.009765625,769.916015625,1849.0,419.0,0.0,66.7519039750041,21.52758569899015,1.4926202039932832,82.69099332098267,214.9636781750014,0.0007762549114611676,0.19289112863377478,0.011195677296900302,0.043004435774945636,15.789494741999079,26.594961976981722,,
haotian_3b_dvao_s1_save10,3b,dvao,1,11,,,,,456671,472631,15960,464019,464019,464019.0,0.03685925900936127,0.001,0.36605267971754074,-0.011941892618779093,0.01240509679337265,0.006394503998080836,11.632828652858734,0.41246428385073414,1e-06,2.0500004291534424,4.0,-3.0,0.6328125,1.0,0.0,1.4171878099441528,3.0,-3.0,0.0,0.0,0.0,2.052849769592285,4.436042785644531,-3.015777349472046,-0.05919918045401573,0.5964921116828918,1.7320520877838135,-1.7320514917373657,-0.05919918045401573,1.7320520877838135,-1.7320514917373657,159.44140625,1024.0,20.0,0.00537109375,746.845703125,2048.0,402.0,0.00390625,60.765304047003156,21.27944901000592,1.3233909789996687,78.11613088101149,161.60486856900388,0.0007130047363360491,0.18609067314784022,0.011464750909987479,0.04208670920857308,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,12,,,,,457125,488870,31745,471384,471385,471384.25,0.05619450658559799,0.001,0.34490024484694004,-0.04088493969175033,0.010952874521535705,0.006562529227153391,6.48981100320816,0.41138526507339646,1e-06,2.1999261379241943,4.0,-3.0,0.78515625,1.0,0.0,1.4147698879241943,3.0,-3.0,0.0,0.0,0.0,2.1973254680633545,4.5140204429626465,-3.0243523120880127,-0.028314802795648575,0.5569385290145874,1.732053279876709,-1.732050895690918,-0.028314802795648575,1.732053279876709,-1.732050895690918,153.63330078125,1024.0,18.0,0.00341796875,767.0390625,2048.0,393.0,0.005859375,60.40902222099248,21.004094951989828,1.2700457589817233,79.54159728900413,162.33139556800597,0.0006735724406265819,0.19199348534041172,0.011139582491348526,0.04218511611758567,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,13,,,,,442877,478404,35527,462263,462264,462263.25,0.07164928317070007,0.001,0.31630860129371285,-0.04597699351779738,0.0014975919602875365,0.00033823268677224405,25.88173609972,0.4124570038040787,1e-06,2.324445962905884,4.0,-3.0,0.84765625,1.0,0.0,1.4767897129058838,3.0,-3.0,0.0,0.0,0.0,2.3157832622528076,4.876582145690918,-3.025113821029663,-0.029599251225590706,0.4911161959171295,1.732051968574524,-1.7320513725280762,-0.029599251225590706,1.732051968574524,-1.7320513725280762,147.36767578125,1024.0,23.0,0.0029296875,755.490234375,2048.0,416.0,0.00390625,64.55707017201348,21.1051086759835,1.3984127510047983,77.91568492399529,165.09635227601393,0.0007562859209578083,0.2139004144078324,0.011414009590846505,0.04213815662611904,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,14,,,,,455306,479294,23988,469551,469552,469551.75,0.07340113818645477,0.001,0.30261634942144156,0.06648576835323183,0.005938587300988729,0.0023048473387348167,28.40192812681198,0.4012935282099718,1e-06,2.3455889225006104,4.0,-3.0,0.85986328125,1.0,0.0,1.4857254028320312,3.0,-3.0,0.0,0.0,0.0,2.3412528038024902,6.668416976928711,-3.0293898582458496,-0.0321388877928257,0.5319908857345581,1.7320513725280762,-1.7320513725280762,-0.0321388877928257,1.7320513725280762,-1.7320513725280762,144.02685546875,1024.0,1.0,0.00634765625,773.06640625,2034.0,399.0,0.0,61.41964995500166,21.076224591000937,1.244129462982528,81.39256046098308,165.2411608310067,0.0006624027399442808,0.20822549625890915,0.011221459930135996,0.04333524497618371,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,15,,,,,445303,484714,39411,463870,463871,463870.25,0.0810040682554245,0.001,0.31296743068002886,0.06002919724391353,0.0012178641233232714,0.00018496506339532413,2.453788638114929,0.41389944800136563,1e-06,2.4775869846343994,4.0,-3.0,0.8642578125,1.0,0.0,1.6133294105529785,3.0,-3.0,0.0,0.0,0.0,2.466597557067871,4.0026350021362305,-3.0344879627227783,-0.01570529118180275,0.48394325375556946,1.7320510149002075,-1.7320512533187866,-0.01570529118180275,1.7320510149002075,-1.7320512533187866,145.07080078125,1024.0,26.0,0.0029296875,760.92578125,2048.0,402.0,0.005859375,60.58061784500023,21.19758304199786,1.1981963450089097,77.8306523069914,160.90350592200411,0.0006457605036154559,0.20390305731980354,0.011424306172899567,0.04194634830914,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,16,,,,,457251,482772,25521,465395,465396,465395.5,0.08397713303565979,0.001,0.25856251642107964,-0.04781804539379664,0.0013202226382418303,4.9963065407609974e-05,2.362881898880005,0.41454707776361427,1e-06,2.462564468383789,4.0,-3.0,0.90234375,1.0,0.0,1.560220718383789,3.0,-3.0,0.0,0.0,0.0,2.450772762298584,4.002037525177002,-3.0392138957977295,-0.010322931222617626,0.4970637261867523,1.7320514917373657,-1.732051968574524,-0.010322931222617626,1.7320514917373657,-1.732051968574524,142.8583984375,1024.0,23.0,0.00146484375,766.1171875,2048.0,426.0,0.00390625,67.60533368898905,21.265007139998488,1.2511376409966033,78.27207260899013,168.48328241999843,0.0006720830138004146,0.23107088698581915,0.011423083774981971,0.04204599776372469,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,17,,,,,449063,480328,31265,465406,465407,465406.75,0.08036454766988754,0.001,0.2536592073738575,0.020368999656056985,0.0010486572900845204,-7.347321779604954e-05,11.154303014278412,0.4136613218438765,1e-06,2.48850417137146,4.0,-3.0,0.87451171875,1.0,0.0,1.61399245262146,3.0,-3.0,0.0,0.0,0.0,2.483276128768921,4.633640289306641,-3.030240535736084,-0.00509286904707551,0.44864779710769653,1.7320528030395508,-1.7320526838302612,-0.00509286904707551,1.7320528030395508,-1.7320526838302612,141.02294921875,1024.0,20.0,0.00341796875,767.974609375,2048.0,399.0,0.00390625,59.161527998017846,20.926475785992807,1.249131787015358,78.21583023999119,159.64656325499527,0.0006709892943190864,0.2048422969652471,0.011240960614555337,0.04201477000494255,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,18,,,,,459963,502317,42354,482341,482341,482341.0,0.08602628856897354,0.001,0.282363007014448,0.01044890235855498,0.0011256808436221697,9.363742041883101e-05,4.223991692066193,0.40894204433003634,1e-06,2.4381191730499268,4.0,-3.0,0.87451171875,1.0,0.0,1.5636075735092163,3.0,-3.0,0.0,0.0,0.0,2.4306421279907227,4.001585483551025,-3.031031370162964,-0.022446949034929276,0.4739319980144501,1.7320513725280762,-1.732053279876709,-0.022446949034929276,1.7320513725280762,-1.732053279876709,154.220703125,1024.0,23.0,0.0068359375,787.8515625,2048.0,418.0,0.00390625,67.52580504899379,21.479994175984757,1.252837024978362,81.98627732999739,172.34200439197593,0.0006493523383759426,0.21379480075288368,0.011133199425294945,0.042493939624662525,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,19,,,,,456321,475729,19408,465003,465004,465003.75,0.08723470568656921,0.001,0.24357382534071803,0.03511435052496381,0.0010055915654447745,9.930255211543226e-05,2.8612767457962036,0.40560733157380735,1e-06,2.45068621635437,4.0,-3.0,0.89599609375,1.0,0.0,1.5546901226043701,3.0,-3.0,0.0,0.0,0.0,2.4432356357574463,11.914912223815918,-3.0196030139923096,-0.006861615926027298,0.434460312128067,1.7320514917373657,-1.7320513725280762,-0.006861615926027298,1.7320514917373657,-1.7320513725280762,140.35888671875,1024.0,38.0,0.0009765625,767.8515625,2048.0,393.0,0.005859375,63.098740207991796,20.678905575012323,1.207883479015436,79.61733399398508,164.6959050479927,0.000649394482848491,0.21950823679529594,0.01111760151128476,0.042804673077359634,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,20,2.659747339040041,0.95,1.7097473375499248,0.0,447085,461327,14242,455280,455280,455280.0,0.10061045736074448,0.001,0.24417607439681888,-0.02718569547869265,0.0009306497277066228,5.632307704672712e-05,2.484834909439087,0.4095647628201393,1e-06,2.5967752933502197,4.0,-3.0,0.9140625,1.0,0.0,1.6827125549316406,3.0,-3.0,0.0,0.0,0.0,2.584113121032715,4.001562118530273,-3.013967275619507,0.00024752679746598005,0.41445136070251465,1.7320520877838135,-1.7320512533187866,0.00024752679746598005,1.7320520877838135,-1.7320512533187866,134.0859375,1024.0,25.0,0.001953125,755.1328125,2048.0,389.0,0.005859375,56.22192756700679,20.930644869979005,1.2398584969923832,77.08847765697283,203.65214261997608,0.0006808219650502894,0.20473521371193407,0.01149328153552704,0.04233025701599721,20.12750808999408,27.504112474009162,,
haotian_3b_dvao_s1_save10,3b,dvao,1,21,,,,,444229,470134,25905,456562,456563,456562.25,0.10003284364938736,0.001,0.23443537624552846,0.010027976604760624,0.0015236244953484857,0.00017283778996102228,2.357810854911804,0.4076568949332542,1e-06,2.583463668823242,4.0,-3.0,0.92041015625,1.0,0.0,1.6630535125732422,3.0,-3.0,0.0,0.0,0.0,2.5705113410949707,4.000808238983154,-3.017040967941284,-0.007593587506562471,0.40725985169410706,1.7320510149002075,-1.7320513725280762,-0.007593587506562471,1.7320510149002075,-1.7320513725280762,135.11767578125,1024.0,31.0,0.00048828125,756.60546875,2048.0,416.0,0.00390625,61.453007153002545,20.423522920988034,1.2489929720177315,77.60841225099284,160.83870843899786,0.0006839116528018532,0.22207569050777695,0.011183317784698601,0.042496073783472484,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,22,,,,,443692,481620,37928,463943,463944,463943.5,0.10181211680173874,0.001,0.21232195105403662,0.03295181597059127,0.0009086480713449419,2.3344846454165236e-05,1.7993269562721252,0.4180805675779682,1e-06,2.651309013366699,4.0,-3.0,0.91650390625,1.0,0.0,1.7348052263259888,3.0,-3.0,0.0,0.0,0.0,2.6381802558898926,4.002386093139648,-3.0170814990997314,-0.012661448679864407,0.3776151239871979,1.732051134109497,-1.7320512533187866,-0.012661448679864407,1.732051134109497,-1.7320512533187866,137.5419921875,1024.0,30.0,0.00146484375,768.59765625,2048.0,419.0,0.005859375,59.08491373801371,21.11908125199261,1.2457565879740287,77.16553828999167,158.71382844197797,0.0006712867989173405,0.20975452716149795,0.011380201065427477,0.041581323097527864,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,23,,,,,462205,482888,20683,473922,473923,473922.75,0.10681532323360443,0.001,0.21450576186180115,0.03321087884978624,0.0009534119972158805,-5.018357902031312e-05,22.98699826002121,0.4116302780751958,1e-06,2.6475110054016113,4.0,-3.0,0.92578125,1.0,0.0,1.7217296361923218,3.0,-3.0,0.0,0.0,0.0,2.6374144554138184,5.426201343536377,-3.0299105644226074,-0.011362629942595959,0.4018374979496002,1.7320514917373657,-1.732051134109497,-0.011362629942595959,1.7320514917373657,-1.732051134109497,140.62841796875,1024.0,35.0,0.0029296875,785.001953125,2048.0,422.0,0.001953125,61.43475800799206,21.50485415800358,1.2260355329781305,80.12071562098572,164.39931530502508,0.000646748617247289,0.21330994735541864,0.011344071453630145,0.042264649471346186,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,24,,,,,445804,465481,19677,453640,453641,453640.75,0.11331761628389359,0.001,0.19725752295926213,0.006673719151876867,0.0008382336409340496,0.00016229047423621523,2.2265257239341736,0.41235374729659113,1e-06,2.6303670406341553,4.0,-3.0,0.92236328125,1.0,0.0,1.7080036401748657,3.0,-3.0,0.0,0.0,0.0,2.616217851638794,4.000413417816162,-3.0425915718078613,-0.004971455782651901,0.37712374329566956,1.7320525646209717,-1.7320525646209717,-0.004971455782651901,1.7320525646209717,-1.7320525646209717,131.78466796875,1024.0,37.0,0.00146484375,754.232421875,2048.0,389.0,0.001953125,55.848971201019594,20.438131570001133,1.1876123920083046,76.28466761801974,153.85270209499868,0.0006544894787385749,0.20692851368502416,0.011263390452688132,0.04204024198554679,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,25,,,,,446576,463890,17314,455027,455027,455027.0,0.1174948513507843,0.001,0.21038007231489306,0.03383676449377691,0.0009579088523863784,2.9404941385784638e-05,2.8281304836273193,0.41032995225194824,1e-06,2.7476553916931152,4.0,-3.0,0.9306640625,1.0,0.0,1.8169910907745361,3.0,-3.0,0.0,0.0,0.0,2.7332708835601807,4.002725124359131,-3.0270469188690186,-0.025578541681170464,0.37891727685928345,1.7320513725280762,-1.7320514917373657,-0.025578541681170464,1.7320513725280762,-1.7320514917373657,133.9921875,1024.0,42.0,0.00341796875,754.732421875,2048.0,393.0,0.0078125,58.6682547639939,20.744115781999426,1.2252598289924208,76.96397479000734,157.69582638400607,0.0006731797393299852,0.21379312709169254,0.011397189497545984,0.04228538899340443,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,26,,,,,440310,476868,36558,461362,461363,461362.75,0.11985334008932114,0.001,0.1744670293504192,-0.029382126195536505,0.0007562766099468835,0.00013836634964043754,1.7293007969856262,0.4152346579300244,1e-06,2.7497453689575195,4.0,-3.0,0.94189453125,1.0,0.0,1.80785071849823,3.0,-3.0,0.0,0.0,0.0,2.7346081733703613,4.001737117767334,-3.0448174476623535,-0.00990600511431694,0.33211663365364075,1.7320516109466553,-1.7320514917373657,-0.00990600511431694,1.7320516109466553,-1.7320514917373657,132.46630859375,1024.0,29.0,0.0009765625,768.6328125,2048.0,402.0,0.00390625,55.091395630006446,21.179359219997423,1.6064247309986968,77.2135106769856,155.18498746099067,0.0008704781275681103,0.20307122473656128,0.011476522118440111,0.041839913753865914,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,27,,,,,441919,472405,30486,456484,456485,456484.75,0.12754829227924347,0.001,0.1984870152608041,0.014326005197700954,0.0011892611172140365,0.00011784740068363927,1.896176040172577,0.4123308167421815,1e-06,2.6115527153015137,4.0,-3.0,0.92138671875,1.0,0.0,1.6901657581329346,3.0,-3.0,0.0,0.0,0.0,2.595594882965088,4.002124309539795,-3.0244193077087402,-0.0069860112853348255,0.3971175253391266,1.732050895690918,-1.7320514917373657,-0.0069860112853348255,1.732050895690918,-1.7320514917373657,136.31787109375,1024.0,36.0,0.0029296875,755.25390625,2048.0,399.0,0.00390625,57.453386299021076,20.722924697009148,1.492170529003488,76.8462863950117,156.60905130498577,0.00081720721722001,0.20579408300416965,0.011349187840891261,0.04208590012865255,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,28,,,,,435899,494466,58567,465284,465284,465284.0,0.12575951218605042,0.001,0.21584302864291452,0.02257232977276682,0.001073739612228096,0.00012888791107715488,2.103302836418152,0.3924569272554819,1e-06,2.520205497741699,4.0,-3.0,0.91650390625,1.0,0.0,1.6037017107009888,3.0,-3.0,0.0,0.0,0.0,2.5040860176086426,4.001270294189453,-3.02911114692688,-0.02581142820417881,0.3558666408061981,1.7320514917373657,-1.7320514917373657,-0.02581142820417881,1.7320514917373657,-1.7320514917373657,138.25390625,1024.0,39.0,0.0009765625,770.50390625,2048.0,407.0,0.005859375,59.035029981983826,21.26567199800047,1.6110453300061636,82.32671419301187,164.33952214600868,0.0008656247206040631,0.20849825524109225,0.011426178418987366,0.04423465786111916,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,29,,,,,435630,492875,57245,460686,460687,460686.5,0.1298632174730301,0.001,0.1831258616875857,0.013026227738009766,0.0009647801380197052,3.752364773390582e-05,1.9273663759231567,0.4099358462314599,1e-06,2.7354960441589355,4.0,-3.0,0.9443359375,1.0,0.0,1.791159749031067,3.0,-3.0,0.0,0.0,0.0,2.7193143367767334,4.0015764236450195,-3.0328409671783447,-0.009956768713891506,0.34692323207855225,1.7320513725280762,-1.7320512533187866,-0.009956768713891506,1.7320513725280762,-1.7320512533187866,129.7158203125,1024.0,34.0,0.00048828125,770.0625,2048.0,407.0,0.00390625,56.89139517999138,21.148705203988357,1.5050721960142255,77.95503766401089,157.61046838198672,0.0008167551013618944,0.21415276475766354,0.011476733746261479,0.04230373457004432,,,,
haotian_3b_dvao_s1_save10,3b,dvao,1,30,2.792554533109069,0.975,1.8175545311532915,0.0,451422,492439,41017,471126,471126,471126.0,0.13138249516487122,0.001,0.19702383340336382,0.0032980641117319465,0.000793365199569962,5.517309915603619e-05,1.5809938311576843,0.4095523666115958,1e-06,2.628031015396118,4.0,-3.0,0.92041015625,1.0,0.0,1.7076207399368286,3.0,-3.0,0.0,0.0,0.0,2.6115450859069824,3.9998254776000977,-3.041620969772339,-0.0012090645032003522,0.28609558939933777,1.7320512533187866,-1.732051134109497,-0.0012090645032003522,1.7320512533187866,-1.732051134109497,136.224609375,1024.0,44.0,0.001953125,783.943359375,2048.0,413.0,0.013671875,64.946105481009,21.06292005299474,1.5093151459877845,80.14810828201007,212.21045916201547,0.0008009084331939781,0.23279175262380103,0.01117690387125458,0.04253008127444148,17.48433866701089,26.948597664013505,,
